pir_reading_id,device_id,motion,flag,measured_at,received_at,raw_payload
26516,3,False,ok,2026-09-03T14:13:24.323200+00:00,2026-09-03T14:13:24.514999+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26517,3,False,ok,2026-09-03T14:13:25.417654+00:00,2026-09-03T14:13:25.529671+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26518,3,False,ok,2026-09-03T14:13:26.347256+00:00,2026-09-03T14:13:26.440025+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26519,3,True,ok,2026-09-03T14:13:27.358296+00:00,2026-09-03T14:13:27.459652+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26520,3,False,ok,2026-09-03T14:13:28.371398+00:00,2026-09-03T14:13:28.549738+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26521,3,False,ok,2026-09-03T14:13:29.382253+00:00,2026-09-03T14:13:29.529860+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26522,3,False,ok,2026-09-03T14:13:30.397742+00:00,2026-09-03T14:13:30.594661+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26523,3,False,ok,2026-09-03T14:13:31.406282+00:00,2026-09-03T14:13:31.494770+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26524,3,False,ok,2026-09-03T14:13:32.418885+00:00,2026-09-03T14:13:32.584721+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26525,3,False,ok,2026-09-03T14:13:33.434572+00:00,2026-09-03T14:13:33.674575+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26526,3,True,ok,2026-09-03T14:13:34.442254+00:00,2026-09-03T14:13:34.604685+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26527,3,False,ok,2026-09-03T14:13:35.454440+00:00,2026-09-03T14:13:35.540286+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26528,3,False,ok,2026-09-03T14:13:36.468594+00:00,2026-09-03T14:13:36.564694+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26529,3,False,ok,2026-09-03T14:13:37.483156+00:00,2026-09-03T14:13:37.560551+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26530,3,False,ok,2026-09-03T14:13:38.517331+00:00,2026-09-03T14:13:38.694715+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26531,3,False,ok,2026-09-03T14:13:39.531213+00:00,2026-09-03T14:13:39.685019+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26532,3,False,ok,2026-09-03T14:13:40.682864+00:00,2026-09-03T14:13:40.904862+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26533,3,True,ok,2026-09-03T14:13:41.527107+00:00,2026-09-03T14:13:41.765209+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26534,3,False,ok,2026-09-03T14:13:42.538328+00:00,2026-09-03T14:13:42.629968+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26535,3,False,ok,2026-09-03T14:13:43.559045+00:00,2026-09-03T14:13:43.734658+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
