reading_id,device_id,temperature,humidity,co2,temp_flag,humidity_flag,co2_flag,measured_at,received_at,raw_payload
16415,1,24.33,73.33,784,ok,ok,ok,2026-09-03T14:23:44.129857+00:00,2026-09-03T14:23:44.304663+00:00,"{""co2_ppm"": 784, ""humidity_rh"": 73.33486, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.33242, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2501794, ""wifi_rssi"": -62}"
16418,1,24.32,73.33,781,ok,ok,ok,2026-09-03T14:23:49.174729+00:00,2026-09-03T14:23:49.369707+00:00,"{""co2_ppm"": 781, ""humidity_rh"": 73.32571, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31907, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2506834, ""wifi_rssi"": -63}"
16421,1,24.31,73.35,782,ok,ok,ok,2026-09-03T14:23:54.079168+00:00,2026-09-03T14:23:54.180188+00:00,"{""co2_ppm"": 782, ""humidity_rh"": 73.34707, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31105, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2511874, ""wifi_rssi"": -62}"
16424,1,24.32,73.35,783,ok,ok,ok,2026-09-03T14:23:59.119606+00:00,2026-09-03T14:23:59.219711+00:00,"{""co2_ppm"": 783, ""humidity_rh"": 73.35012, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32174, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2516914, ""wifi_rssi"": -64}"
16427,1,24.30,73.37,783,ok,ok,ok,2026-09-03T14:24:04.324767+00:00,2026-09-03T14:24:04.424535+00:00,"{""co2_ppm"": 783, ""humidity_rh"": 73.37148, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30037, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2521916, ""wifi_rssi"": -61}"
16430,1,24.31,73.38,783,ok,ok,ok,2026-09-03T14:24:09.239667+00:00,2026-09-03T14:24:09.340163+00:00,"{""co2_ppm"": 783, ""humidity_rh"": 73.37759, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30571, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2526956, ""wifi_rssi"": -65}"
16433,1,24.33,73.34,784,ok,ok,ok,2026-09-03T14:24:14.299626+00:00,2026-09-03T14:24:14.399715+00:00,"{""co2_ppm"": 784, ""humidity_rh"": 73.33639, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32975, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2531996, ""wifi_rssi"": -60}"
16436,1,24.32,73.38,783,ok,ok,ok,2026-09-03T14:24:19.319555+00:00,2026-09-03T14:24:19.421279+00:00,"{""co2_ppm"": 783, ""humidity_rh"": 73.38064, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.3164, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2537036, ""wifi_rssi"": -61}"
16439,1,24.31,73.34,782,ok,ok,ok,2026-09-03T14:24:24.404692+00:00,2026-09-03T14:24:24.499938+00:00,"{""co2_ppm"": 782, ""humidity_rh"": 73.33791, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31105, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2542065, ""wifi_rssi"": -56}"
16442,1,24.32,73.34,782,ok,ok,ok,2026-09-03T14:24:29.439524+00:00,2026-09-03T14:24:29.544703+00:00,"{""co2_ppm"": 782, ""humidity_rh"": 73.34402, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.3164, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2547105, ""wifi_rssi"": -55}"
16445,1,24.29,73.37,783,ok,ok,ok,2026-09-03T14:24:34.524610+00:00,2026-09-03T14:24:34.614854+00:00,"{""co2_ppm"": 783, ""humidity_rh"": 73.36843, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.28969, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2552107, ""wifi_rssi"": -57}"
16448,1,24.34,73.39,781,ok,ok,ok,2026-09-03T14:24:39.554504+00:00,2026-09-03T14:24:39.644456+00:00,"{""co2_ppm"": 781, ""humidity_rh"": 73.39285, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.3431, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2557147, ""wifi_rssi"": -57}"
16451,1,24.30,73.36,781,ok,ok,ok,2026-09-03T14:24:44.644481+00:00,2026-09-03T14:24:44.745325+00:00,"{""co2_ppm"": 781, ""humidity_rh"": 73.3608, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30304, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2562187, ""wifi_rssi"": -61}"
