door_reading_id,device_id,door_state,flag,measured_at,received_at,raw_payload
26500,3,closed,ok,2026-09-03T14:13:08.130010+00:00,2026-09-03T14:13:08.521546+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26501,3,closed,ok,2026-09-03T14:13:09.142126+00:00,2026-09-03T14:13:09.424708+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26502,3,closed,ok,2026-09-03T14:13:10.253653+00:00,2026-09-03T14:13:10.545565+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26503,3,closed,ok,2026-09-03T14:13:11.169936+00:00,2026-09-03T14:13:11.344539+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26504,3,closed,ok,2026-09-03T14:13:12.179050+00:00,2026-09-03T14:13:12.349759+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26505,3,closed,ok,2026-09-03T14:13:13.192843+00:00,2026-09-03T14:13:13.519898+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26506,3,closed,ok,2026-09-03T14:13:14.203391+00:00,2026-09-03T14:13:14.524781+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26507,3,closed,ok,2026-09-03T14:13:15.313455+00:00,2026-09-03T14:13:15.666139+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26508,3,closed,ok,2026-09-03T14:13:16.227243+00:00,2026-09-03T14:13:16.394826+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26509,3,closed,ok,2026-09-03T14:13:17.239591+00:00,2026-09-03T14:13:17.400246+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26510,3,closed,ok,2026-09-03T14:13:18.251127+00:00,2026-09-03T14:13:18.574673+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26511,3,closed,ok,2026-09-03T14:13:19.263569+00:00,2026-09-03T14:13:19.565240+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26512,3,closed,ok,2026-09-03T14:13:20.357780+00:00,2026-09-03T14:13:20.681720+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26513,3,closed,ok,2026-09-03T14:13:21.288383+00:00,2026-09-03T14:13:21.474520+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26514,3,closed,ok,2026-09-03T14:13:22.299397+00:00,2026-09-03T14:13:22.480154+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26515,3,closed,ok,2026-09-03T14:13:23.311117+00:00,2026-09-03T14:13:23.626286+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26516,3,closed,ok,2026-09-03T14:13:24.323200+00:00,2026-09-03T14:13:24.681034+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26517,3,closed,ok,2026-09-03T14:13:25.417654+00:00,2026-09-03T14:13:25.619929+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26518,3,closed,ok,2026-09-03T14:13:26.347256+00:00,2026-09-03T14:13:26.514733+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26519,3,closed,ok,2026-09-03T14:13:27.358296+00:00,2026-09-03T14:13:27.554879+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26520,3,closed,ok,2026-09-03T14:13:28.371398+00:00,2026-09-03T14:13:28.684531+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26521,3,closed,ok,2026-09-03T14:13:29.382253+00:00,2026-09-03T14:13:29.635180+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26522,3,closed,ok,2026-09-03T14:13:30.397742+00:00,2026-09-03T14:13:30.674841+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26523,3,closed,ok,2026-09-03T14:13:31.406282+00:00,2026-09-03T14:13:31.574492+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
